cohort	metadata	metric	n_meta	gizmo_best_pc	gizmo_strength	gizmo_raw_p	mofa_best_factor	mofa_strength	mofa_raw_p	n_cohort_tests	bonf_cohort_thr	bonf_global_thr	gizmo_pc_var_frac	mofa_factor_var_frac	gizmo_survives_bonf_cohort	gizmo_survives_bonf_global	mofa_survives_bonf_cohort	mofa_survives_bonf_global
KMPLOT_BRCA	grade	spearman	1044	3	0.4900840299191826	2.8402349734674197e-40	3	0.5005838979799765	3.308151194443073e-42	3	0.016666666666666666	0.00027624309392265195	0.06131425122621034	0.1842555716828244	True	True	True	True
KMPLOT_BRCA	size	spearman	906	3	0.2251429828247538	7.416251168545376e-09	4	0.2382288573820547	8.957769553861905e-10	3	0.016666666666666666	0.00027624309392265195	0.06131425122621034	0.20484388239553936	False	False	False	False
KMPLOT_BRCA	age	spearman	761	1	0.516909460880415	9.064137095388167e-32	1	0.5187582226079427	5.059722356790148e-32	3	0.016666666666666666	0.00027624309392265195	0.19076183439984237	0.16597952838052285	True	True	True	True
CPTAC_CCRCC	age	spearman	200	3	0.3100478408479659	0.0009797232359756	3	0.3241702332359716	0.0005505494538149	7	0.0071428571428571435	0.00027624309392265195	0.04246767358653265	0.04652239060567958	False	False	False	False
CPTAC_CCRCC	sex	auc	222	2	0.2374999999999999	0.0562054867212055	4	0.2466666666666666	0.0473377091113199	7	0.0071428571428571435	0.00027624309392265195	0.05480596231628089	0.4348491455243544	False	False	False	False
CPTAC_CCRCC	tumor_site	spearman	157	5	0.2808901338526834	0.0084048695113068	4	0.2627907065864767	0.0139292943416017	7	0.0071428571428571435	0.00027624309392265195	0.019630644622132955	0.4348491455243544	False	False	False	False
CPTAC_CCRCC	tumor_size_cm	spearman	200	3	0.4110907221267105	8.1512423098287e-06	2	0.3165687917829944	0.0007534152824765	7	0.0071428571428571435	0.00027624309392265195	0.04246767358653265	0.15937610739871244	True	True	False	False
CPTAC_CCRCC	grade	spearman	200	3	0.4921138343757188	4.756143683973797e-08	3	0.18129014666248	0.058038872190281	7	0.0071428571428571435	0.00027624309392265195	0.04246767358653265	0.04652239060567958	True	True	False	False
CPTAC_CCRCC	bmi	spearman	201	2	0.2291713163602987	0.0160289794032807	5	0.229270503253335	0.0159820144596569	7	0.0071428571428571435	0.00027624309392265195	0.05480596231628089	0.08123788807227643	False	False	False	False
CPTAC_CCRCC	tobacco_smoking_hist	spearman	154	3	0.2036798687037707	0.0631240207448971	3	0.2624882301947352	0.0158584763176992	7	0.0071428571428571435	0.00027624309392265195	0.04246767358653265	0.04652239060567958	False	False	False	False
CPTAC_COAD	age	spearman	108	4	0.2288227626633555	0.0188790794636662	5	0.144256363685262	0.1420541472616205	26	0.0019230769230769232	0.00027624309392265195	0.02752193864010523	0.020582054450260963	False	False	False	False
CPTAC_COAD	sex	auc	110	2	0.178210678210678	0.1186118355781536	6	0.2756132756132756	0.0157209114441581	26	0.0019230769230769232	0.00027624309392265195	0.11388571651080141	0.0002748562595531885	False	False	False	False
